com.ichi2.anki#170004:	  Someday After updating the Anki crashed 
com.ichi2.anki#173408:	   I had this when I had gingerbread and loved it. Never had a single problem. One of the main reasons I chose another android was for this program but the ICS version is REALLY buggy. -It crashes daily. -For whatever reason, about 75% of the time the settings button does not show up when I'm doing reviews so I can't edit cards as I go. -Unlike the GB version, this one did not prompt me to choose "sync from local" and I lost 100 flashcards during a sync. -Backups don't work right and I can't find a way to actually restore from backup. I had to make a whole new deck and load it from my computer, sync from computer, then sync the new deck onto my droid... -I'm getting some kind of database error now from the ankidroid PC program. -When browsing card lists, the sort option does not work (when sorting by date) Despite all this I would say it's still the best flashcard program out there. If you're not on ICS I highly recommend it. If you ARE on ICS then I still recommend it but be careful and expect to get a little frustrated but the good is worth the bad. When I get an update that fixes some of these problems I will edit my review back up to a 5. 
com.ichi2.anki#173414:	   Great program unfortunately most of the decks I have contain audio ,which doesn't get played I'm on Nexus S ICS 4.0.3 
com.ichi2.anki#173417:	   Unfortunately crashes quite often on launch on my system. Once it runs, there are no problems what so ever. 
com.ichi2.anki#173418:	   Some bugs. 1) Does not show pictures. I tried the same deck as on the screenshot - does not work. 2) Cancelling deck download hangs forever, need to restart the phone. 
com.ichi2.anki#173420:	   Promising but still a few bugs to work out. 
com.ichi2.anki#173421:	   Had to re install to fix widgets. Disappointed by lack of response but still a great app! 
com.ichi2.anki#173423:	   But has a few annoying bugs 
com.ichi2.anki#173434:	   Used to work great, but now I cannot load any of my decks! Also some cards in certain decks do not display at all. 
com.ichi2.anki#173439:	   Oh no! I updated, but I faced several issues with the new release: card browser isn't updated after adding and anki stayes in memory after exit. 
com.ichi2.anki#173459:	   it gives a error for latex flashcards 
com.ichi2.anki#173466:	  Anki corrupted a deck of 33 cards which I cannot use anymore. 
com.ichi2.anki#173477:	   Nice when you can actually sync without errors 
com.ichi2.anki#173493:	  A really great app! I practice my Japanese vocabulary with it and I've never had any problem. 
com.ichi2.anki#173520:	  Would be a better app if it had a deck makeing option, if it does already I cannot find it 
com.ichi2.anki#173537:	  Once installed it forced japanese symbols into my maps program & crashed my phone & tried to force audio into japanese as well. UNINTALLED 
com.ichi2.anki#173548:	  I have some sync problems in my SGS, but the app works great. I use it a lot. 
com.ichi2.anki#173550:	  please fix the frequent crashes. Other than that I love it 
com.ichi2.anki#173553:	  A must have to learn Chinese characters ( and lot of other stuff I don't use) 
com.ichi2.anki#173560:	  Great app! Updated version has many new features. Night mode is a great idea but seems to have some problems with displaying all of the answer. 
com.ichi2.anki#173563:	   I have tried several SRS systems and this one is by far the best. No problem at all with syncing. There is a small issues with left-to-right characters (arab, hebrew), that will only be written left-to-right. Am using it together with the Desktop client. 
com.ichi2.anki#173564:	   What are you people talking about? Sync works well in the latest version. This does exactly what I need it to, and I haven't run into any problems yet. Thanks for fixing the crash bugs and sync flakiness of the last version. 
com.ichi2.anki#173568:	  Experiencing serious lag issues and FCs now that I have in excess of 24,000 cards. Pls further optimize performance. 
com.ichi2.anki#173572:	  Love the app, but can't find an option to reverse a deck, i.e. if I have a Chinese to English deck, why can't I flip it and review En to Cn? 
com.ichi2.anki#173597:	  Its not working on my samsung moment. 
com.ichi2.anki#173598:	  Synching would be great. Also the review early button doesn't work, and it tells me to come back tomorrow 
com.ichi2.anki#173599:	  PLEASE add search feature to the decks. Downloading and in the library.I can deal with no syncing as long as I can find decks..Add syncing too, please 
com.ichi2.anki#173605:	  Crashes on HTC hero after JED export... had high hopes. 
com.ichi2.anki#173610:	  Doesn't work at all. Droid x 2.2 
com.ichi2.anki#173617:	  Great development! Would like search feature for shared decks and fixed review option. 
com.ichi2.anki#173619:	  The project is Great. But won't let me continue using it until next day! It should let me use it as much as I want! (Fixed after upgrade!, thks!) 
com.ichi2.anki#173622:	  Last update was a huge improvement. Downloading decks on the fly and forced close problems fixed. Really helpful app! 
com.ichi2.anki#173625:	  New version has black text on black background. Epic fail. My phone is G1. 
com.ichi2.anki#173629:	  Useless if I can't download decks directly to it. 
com.ichi2.anki#173633:	  With no web sync I can't use it. 
com.ichi2.anki#173637:	  Sometimes crashes for no reason on the Evo. Good though. 
com.ichi2.anki#173641:	  How can I review early? It doesn't work when I click review early. 
com.ichi2.anki#173664:	  Not working at all! 
